openmlid,algorithm,algorithmoptions,numinstances,numattributes,numattributesafterbinarization,trainpoints,numinstances_sub,numattributes_sub,builds,predictioncalls_training,predictioncalls_prediction
24,bagging,-P 80 -I 50,8124,22,121,1000,800,22,50,0,7124
3,bagging,-P 50 -I 5,3196,36,40,1000,500,36,5,0,2196
3,bagging,-P 70 -I 5,3196,36,40,1000,700,36,5,0,2196
6,bagging,-P 50 -I 5,20000,16,16,1000,500,16,5,0,19000
12,bagging,-P 50 -I 5,2000,216,216,1000,500,216,5,0,1000
6,bagging,-P 50 -I 5,20000,16,16,10000,5000,16,5,0,10000
6,bagging,-P 70 -I 5,20000,16,16,1000,700,16,5,0,19000
3,bagging,-P 60 -I 5,3196,36,40,1000,600,36,5,0,2196
6,bagging,-P 70 -I 5,20000,16,16,10000,7000,16,5,0,10000
6,bagging,-P 60 -I 5,20000,16,16,1000,600,16,5,0,19000
14,bagging,-P 50 -I 5,2000,76,76,1000,500,76,5,0,1000
3,bagging,-P 90 -I 5,3196,36,40,1000,900,36,5,0,2196
12,bagging,-P 70 -I 5,2000,216,216,1000,700,216,5,0,1000
6,bagging,-P 60 -I 5,20000,16,16,10000,6000,16,5,0,10000
14,bagging,-P 70 -I 5,2000,76,76,1000,700,76,5,0,1000
12,bagging,-P 60 -I 5,2000,216,216,1000,600,216,5,0,1000
16,bagging,-P 50 -I 5,2000,64,64,1000,500,64,5,0,1000
3,bagging,-P 80 -I 5,3196,36,40,1000,800,36,5,0,2196
6,bagging,-P 90 -I 5,20000,16,16,1000,900,16,5,0,19000
14,bagging,-P 60 -I 5,2000,76,76,1000,600,76,5,0,1000
16,bagging,-P 70 -I 5,2000,64,64,1000,700,64,5,0,1000
6,bagging,-P 80 -I 5,20000,16,16,1000,800,16,5,0,19000
6,bagging,-P 90 -I 5,20000,16,16,10000,9000,16,5,0,10000
12,bagging,-P 90 -I 5,2000,216,216,1000,900,216,5,0,1000
3,bagging,-P 95 -I 50,3196,36,40,1000,950,36,50,0,2196
18,bagging,-P 50 -I 5,2000,6,6,1000,500,6,5,0,1000
6,bagging,-P 95 -I 50,20000,16,16,1000,950,16,50,0,19000
6,bagging,-P 80 -I 5,20000,16,16,10000,8000,16,5,0,10000
16,bagging,-P 60 -I 5,2000,64,64,1000,600,64,5,0,1000
21,bagging,-P 50 -I 5,1728,6,21,1000,500,6,5,0,728
18,bagging,-P 70 -I 5,2000,6,6,1000,700,6,5,0,1000
14,bagging,-P 90 -I 5,2000,76,76,1000,900,76,5,0,1000
12,bagging,-P 80 -I 5,2000,216,216,1000,800,216,5,0,1000
3,bagging,-P 60 -I 20,3196,36,40,1000,600,36,20,0,2196
6,bagging,-P 60 -I 20,20000,16,16,1000,600,16,20,0,19000
21,bagging,-P 70 -I 5,1728,6,21,1000,700,6,5,0,728
16,bagging,-P 90 -I 5,2000,64,64,1000,900,64,5,0,1000
12,bagging,-P 95 -I 50,2000,216,216,1000,950,216,50,0,1000
3,bagging,-P 50 -I 20,3196,36,40,1000,500,36,20,0,2196
6,bagging,-P 95 -I 50,20000,16,16,10000,9500,16,50,0,10000
22,bagging,-P 50 -I 5,2000,47,47,1000,500,47,5,0,1000
18,bagging,-P 60 -I 5,2000,6,6,1000,600,6,5,0,1000
14,bagging,-P 80 -I 5,2000,76,76,1000,800,76,5,0,1000
16,bagging,-P 80 -I 5,2000,64,64,1000,800,64,5,0,1000
14,bagging,-P 95 -I 50,2000,76,76,1000,950,76,50,0,1000
22,bagging,-P 70 -I 5,2000,47,47,1000,700,47,5,0,1000
6,bagging,-P 60 -I 20,20000,16,16,10000,6000,16,20,0,10000
21,bagging,-P 60 -I 5,1728,6,21,1000,600,6,5,0,728
6,bagging,-P 50 -I 20,20000,16,16,1000,500,16,20,0,19000
12,bagging,-P 60 -I 20,2000,216,216,1000,600,216,20,0,1000
3,bagging,-P 80 -I 20,3196,36,40,1000,800,36,20,0,2196
23,bagging,-P 50 -I 5,1473,9,21,1000,500,9,5,0,473
18,bagging,-P 90 -I 5,2000,6,6,1000,900,6,5,0,1000
14,bagging,-P 60 -I 20,2000,76,76,1000,600,76,20,0,1000
6,bagging,-P 50 -I 20,20000,16,16,10000,5000,16,20,0,10000
16,bagging,-P 95 -I 50,2000,64,64,1000,950,64,50,0,1000
24,bagging,-P 50 -I 5,8124,22,121,1000,500,22,5,0,7124
3,bagging,-P 70 -I 20,3196,36,40,1000,700,36,20,0,2196
21,bagging,-P 90 -I 5,1728,6,21,1000,900,6,5,0,728
22,bagging,-P 60 -I 5,2000,47,47,1000,600,47,5,0,1000
6,bagging,-P 80 -I 20,20000,16,16,1000,800,16,20,0,19000
12,bagging,-P 50 -I 20,2000,216,216,1000,500,216,20,0,1000
23,bagging,-P 70 -I 5,1473,9,21,1000,700,9,5,0,473
18,bagging,-P 80 -I 5,2000,6,6,1000,800,6,5,0,1000
6,bagging,-P 70 -I 20,20000,16,16,1000,700,16,20,0,19000
6,bagging,-P 80 -I 20,20000,16,16,10000,8000,16,20,0,10000
24,bagging,-P 70 -I 5,8124,22,121,1000,700,22,5,0,7124
14,bagging,-P 50 -I 20,2000,76,76,1000,500,76,20,0,1000
3,bagging,-P 90 -I 20,3196,36,40,1000,900,36,20,0,2196
16,bagging,-P 60 -I 20,2000,64,64,1000,600,64,20,0,1000
22,bagging,-P 90 -I 5,2000,47,47,1000,900,47,5,0,1000
12,bagging,-P 80 -I 20,2000,216,216,1000,800,216,20,0,1000
23,bagging,-P 60 -I 5,1473,9,21,1000,600,9,5,0,473
21,bagging,-P 80 -I 5,1728,6,21,1000,800,6,5,0,728
18,bagging,-P 95 -I 50,2000,6,6,1000,950,6,50,0,1000
21,bagging,-P 95 -I 50,1728,6,21,1000,950,6,50,0,728
14,bagging,-P 80 -I 20,2000,76,76,1000,800,76,20,0,1000
18,bagging,-P 60 -I 20,2000,6,6,1000,600,6,20,0,1000
24,bagging,-P 60 -I 5,8124,22,121,1000,600,22,5,0,7124
16,bagging,-P 50 -I 20,2000,64,64,1000,500,64,20,0,1000
22,bagging,-P 80 -I 5,2000,47,47,1000,800,47,5,0,1000
12,bagging,-P 70 -I 20,2000,216,216,1000,700,216,20,0,1000
23,bagging,-P 90 -I 5,1473,9,21,1000,900,9,5,0,473
6,bagging,-P 70 -I 20,20000,16,16,10000,7000,16,20,0,10000
6,bagging,-P 90 -I 20,20000,16,16,1000,900,16,20,0,19000
21,bagging,-P 60 -I 20,1728,6,21,1000,600,6,20,0,728
14,bagging,-P 70 -I 20,2000,76,76,1000,700,76,20,0,1000
18,bagging,-P 50 -I 20,2000,6,6,1000,500,6,20,0,1000
16,bagging,-P 80 -I 20,2000,64,64,1000,800,64,20,0,1000
24,bagging,-P 90 -I 5,8124,22,121,1000,900,22,5,0,7124
6,bagging,-P 90 -I 20,20000,16,16,10000,9000,16,20,0,10000
22,bagging,-P 95 -I 50,2000,47,47,1000,950,47,50,0,1000
12,bagging,-P 90 -I 20,2000,216,216,1000,900,216,20,0,1000
23,bagging,-P 80 -I 5,1473,9,21,1000,800,9,5,0,473
24,bagging,-P 80 -I 5,8124,22,121,1000,800,22,5,0,7124
14,bagging,-P 90 -I 20,2000,76,76,1000,900,76,20,0,1000
16,bagging,-P 70 -I 20,2000,64,64,1000,700,64,20,0,1000
21,bagging,-P 50 -I 20,1728,6,21,1000,500,6,20,0,728
22,bagging,-P 60 -I 20,2000,47,47,1000,600,47,20,0,1000
23,bagging,-P 95 -I 50,1473,9,21,1000,950,9,50,0,473
18,bagging,-P 80 -I 20,2000,6,6,1000,800,6,20,0,1000
16,bagging,-P 90 -I 20,2000,64,64,1000,900,64,20,0,1000
21,bagging,-P 80 -I 20,1728,6,21,1000,800,6,20,0,728
24,bagging,-P 95 -I 50,8124,22,121,1000,950,22,50,0,7124
22,bagging,-P 50 -I 20,2000,47,47,1000,500,47,20,0,1000
23,bagging,-P 60 -I 20,1473,9,21,1000,600,9,20,0,473
18,bagging,-P 70 -I 20,2000,6,6,1000,700,6,20,0,1000
22,bagging,-P 80 -I 20,2000,47,47,1000,800,47,20,0,1000
18,bagging,-P 90 -I 20,2000,6,6,1000,900,6,20,0,1000
21,bagging,-P 70 -I 20,1728,6,21,1000,700,6,20,0,728
24,bagging,-P 60 -I 20,8124,22,121,1000,600,22,20,0,7124
23,bagging,-P 50 -I 20,1473,9,21,1000,500,9,20,0,473
22,bagging,-P 70 -I 20,2000,47,47,1000,700,47,20,0,1000
21,bagging,-P 90 -I 20,1728,6,21,1000,900,6,20,0,728
24,bagging,-P 50 -I 20,8124,22,121,1000,500,22,20,0,7124
23,bagging,-P 80 -I 20,1473,9,21,1000,800,9,20,0,473
22,bagging,-P 90 -I 20,2000,47,47,1000,900,47,20,0,1000
24,bagging,-P 80 -I 20,8124,22,121,1000,800,22,20,0,7124
3,bagging,-P 95 -I 5,3196,36,40,1000,950,36,5,0,2196
23,bagging,-P 70 -I 20,1473,9,21,1000,700,9,20,0,473
24,bagging,-P 70 -I 20,8124,22,121,1000,700,22,20,0,7124
6,bagging,-P 95 -I 5,20000,16,16,1000,950,16,5,0,19000
23,bagging,-P 90 -I 20,1473,9,21,1000,900,9,20,0,473
24,bagging,-P 90 -I 20,8124,22,121,1000,900,22,20,0,7124
6,bagging,-P 95 -I 5,20000,16,16,10000,9500,16,5,0,10000
12,bagging,-P 95 -I 5,2000,216,216,1000,950,216,5,0,1000
14,bagging,-P 95 -I 5,2000,76,76,1000,950,76,5,0,1000
3,bagging,-P 50 -I 50,3196,36,40,1000,500,36,50,0,2196
6,bagging,-P 50 -I 50,20000,16,16,1000,500,16,50,0,19000
16,bagging,-P 95 -I 5,2000,64,64,1000,950,64,5,0,1000
6,bagging,-P 50 -I 50,20000,16,16,10000,5000,16,50,0,10000
12,bagging,-P 50 -I 50,2000,216,216,1000,500,216,50,0,1000
18,bagging,-P 95 -I 5,2000,6,6,1000,950,6,5,0,1000
14,bagging,-P 50 -I 50,2000,76,76,1000,500,76,50,0,1000
21,bagging,-P 95 -I 5,1728,6,21,1000,950,6,5,0,728
22,bagging,-P 95 -I 5,2000,47,47,1000,950,47,5,0,1000
16,bagging,-P 50 -I 50,2000,64,64,1000,500,64,50,0,1000
23,bagging,-P 95 -I 5,1473,9,21,1000,950,9,5,0,473
18,bagging,-P 50 -I 50,2000,6,6,1000,500,6,50,0,1000
24,bagging,-P 95 -I 5,8124,22,121,1000,950,22,5,0,7124
21,bagging,-P 50 -I 50,1728,6,21,1000,500,6,50,0,728
22,bagging,-P 50 -I 50,2000,47,47,1000,500,47,50,0,1000
23,bagging,-P 50 -I 50,1473,9,21,1000,500,9,50,0,473
24,bagging,-P 50 -I 50,8124,22,121,1000,500,22,50,0,7124
3,logitboost,-L 0 -H 0.5 -Z 3 -P 70 -I 20,3196,36,40,1000,1000,36,20,1000,2196
3,logitboost,-L 0 -H 0.5 -Z 2 -P 80 -I 20,3196,36,40,1000,1000,36,20,1000,2196
3,logitboost,-L 0 -H 0.5 -Z 1 -P 90 -I 20,3196,36,40,1000,1000,36,20,1000,2196
3,logitboost,-L 0 -H 0.9 -Z 10 -P 80 -I 20,3196,36,40,1000,1000,36,20,1000,2196
24,logitboost,-L 0 -H 0.5 -Z 3 -P 70 -I 20,8124,22,121,1000,1000,22,20,1000,7124
24,logitboost,-L 0 -H 0.5 -Z 2 -P 80 -I 20,8124,22,121,1000,1000,22,20,1000,7124
3,logitboost,-L 0 -H 0.5 -Z 5 -P 95 -I 50,3196,36,40,1000,1000,36,50,1000,2196
3,logitboost,-L 0 -H 0.1 -Z 3 -P 90 -I 5,3196,36,40,1000,1000,36,5,1000,2196
24,logitboost,-L 0 -H 0.5 -Z 1 -P 90 -I 20,8124,22,121,1000,1000,22,20,1000,7124
3,logitboost,-L 0 -H 0.1 -Z 5 -P 70 -I 5,3196,36,40,1000,1000,36,5,1000,2196
24,logitboost,-L 0 -H 0.9 -Z 10 -P 80 -I 20,8124,22,121,1000,1000,22,20,1000,7124
24,logitboost,-L 0 -H 0.5 -Z 5 -P 95 -I 50,8124,22,121,1000,1000,22,50,1000,7124
24,logitboost,-L 0 -H 0.1 -Z 3 -P 90 -I 5,8124,22,121,1000,1000,22,5,1000,7124
24,logitboost,-L 0 -H 0.1 -Z 5 -P 70 -I 5,8124,22,121,1000,1000,22,5,1000,7124
3,logitboost,-L 0 -H 0.9 -Z 10 -P 80 -I 10,3196,36,40,1000,1000,36,10,1000,2196
3,logitboost,-L 0.01 -H 0.5 -Z 10 -P 80 -I 5,3196,36,40,1000,1000,36,5,1000,2196
24,logitboost,-L 0 -H 0.9 -Z 10 -P 80 -I 10,8124,22,121,1000,1000,22,10,1000,7124
24,logitboost,-L 0.01 -H 0.5 -Z 10 -P 80 -I 5,8124,22,121,1000,1000,22,5,1000,7124
3,logitboost,-L 0 -H 0.9 -Z 1 -P 60 -I 5,3196,36,40,1000,1000,36,5,1000,2196
3,logitboost,-L 0.01 -H 0.1 -Z 1 -P 95 -I 5,3196,36,40,1000,1000,36,5,1000,2196
24,logitboost,-L 0 -H 0.9 -Z 1 -P 60 -I 5,8124,22,121,1000,1000,22,5,1000,7124
24,logitboost,-L 0.01 -H 0.1 -Z 1 -P 95 -I 5,8124,22,121,1000,1000,22,5,1000,7124
3,logitboost,-L 0 -H 0.9 -Z 5 -P 90 -I 10,3196,36,40,1000,1000,36,10,1000,2196
3,logitboost,-L 0 -H 0.5 -Z 3 -P 70 -I 50,3196,36,40,1000,1000,36,50,1000,2196
3,logitboost,-L 0 -H 0.5 -Z 2 -P 80 -I 50,3196,36,40,1000,1000,36,50,1000,2196
3,logitboost,-L 0 -H 0.5 -Z 1 -P 90 -I 50,3196,36,40,1000,1000,36,50,1000,2196
24,logitboost,-L 0 -H 0.9 -Z 5 -P 90 -I 10,8124,22,121,1000,1000,22,10,1000,7124
3,logitboost,-L 0.01 -H 0.5 -Z 5 -P 90 -I 5,3196,36,40,1000,1000,36,5,1000,2196
24,logitboost,-L 0 -H 0.5 -Z 3 -P 70 -I 50,8124,22,121,1000,1000,22,50,1000,7124
